generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,api_key_disabled,api_key_name,app_name
gen-1789021086-XKA7CfVHWOR8g2C9b26t,2026-09-10 06:18:06.930,0.003933,,,,0,6646,1136,832,0,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,11315,9422,false,OPENROUTER_API_KEY,Quorum AI
gen-1789021086-oX8cw1gUhRCTqtjPEWHy,2026-09-10 06:18:06.926,0.007637,,,,0,6550,3000,2496,0,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,33497,15934,false,OPENROUTER_API_KEY,Quorum AI
gen-1789021086-kJRfeGIVoimMKe7DAlhr,2026-09-10 06:18:06.926,0.003307,,,,0,6541,836,640,0,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,9666,3294,false,OPENROUTER_API_KEY,Quorum AI
gen-1789021086-w0PyYLI6Vs1PPgbbG30W,2026-09-10 06:18:06.920,0.005191,,,,0,6548,1777,1536,0,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,18573,3861,false,OPENROUTER_API_KEY,Quorum AI
gen-1789021086-bnUsZxlk30wCpP8dQQjU,2026-09-10 06:18:06.919,0.007543,,,,0,6623,2944,2944,0,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,36122,10815,false,OPENROUTER_API_KEY,Quorum AI
gen-1789021070-DFpuPFOD5HMimUNwvyvP,2026-09-10 06:17:50.828,0.001137,,,,0,6744,4000,4101,0,nvidia/nemotron-3-nano-30b-a3b,Crusoe,standard,false,true,,length,length,15579,256,false,OPENROUTER_API_KEY,Quorum AI
gen-1789021061-nvidOQhW6VpFWufDQGHn,2026-09-10 06:17:41.888,0.0043,,,,0,6777,907,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,8598,465,false,OPENROUTER_API_KEY,Quorum AI
gen-1789021039-GjUfR8ogg9h0TmA4O0xo,2026-09-10 06:17:19.718,0.017921,,,,0,7426,2099,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,end_turn,stop,21692,748,false,OPENROUTER_API_KEY,Quorum AI
gen-1789021028-2ppYeV3lFKTpvkHj9sej,2026-09-10 06:17:08.591,0.001416,,,,0,6420,756,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,10722,1989,false,OPENROUTER_API_KEY,Quorum AI
gen-1789021010-vysDGvobyLS0f6C0wEWw,2026-09-10 06:16:50.647,0.001059,,,,0,5194,4000,4553,0,nvidia/nemotron-3-nano-30b-a3b,Novita,standard,false,true,,length,length,17420,555,false,OPENROUTER_API_KEY,Quorum AI
gen-1789021000-6qNCpmRpM2IgmukSWl9n,2026-09-10 06:16:40.466,0.005245,,,,0,5209,1473,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,9798,574,false,OPENROUTER_API_KEY,Quorum AI
gen-1789020972-PwBYUuOnLj81LQMOH1pQ,2026-09-10 06:16:12.261,0.020043,,,,0,5713,2866,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,end_turn,stop,27783,708,false,OPENROUTER_API_KEY,Quorum AI
gen-1789020968-suxQocunlQ12F09mBY1y,2026-09-10 06:16:08.380,0.001012,,,,0,4930,455,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,3431,687,false,OPENROUTER_API_KEY,Quorum AI
gen-1789020954-Ao8spWoC42zsCbDfPWDt,2026-09-10 06:15:54.185,0.014159,0.007,,,0,2789,874,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,end_turn,stop,10373,715,false,OPENROUTER_API_KEY,Quorum AI
gen-1789020954-8vlNQwtrMMuHgY3uOSxI,2026-09-10 06:15:54.184,0.009932,0.007,,,0,2618,859,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,5311,451,false,OPENROUTER_API_KEY,Quorum AI
gen-1789020954-PzgzHeojXF1K7HQ3kPxA,2026-09-10 06:15:54.180,0.007529,0.007,,,0,2580,2000,432,0,nvidia/nemotron-3-nano-30b-a3b,Novita,standard,false,true,,length,length,12849,476,false,OPENROUTER_API_KEY,Quorum AI
gen-1789020954-gAh0JtFQ4O0YhLCmStzO,2026-09-10 06:15:54.177,0.007811,0.007,,,0,2459,738,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,11064,1439,false,OPENROUTER_API_KEY,Quorum AI
